HB,HV,HRA,HRB,HRC,HRD,HR15N,HR30N,HR45N,HS
601,640,79.8,-,57.3,68.7,89,75.1,63.5,77
578,615,79.1,-,56,67.7,88.4,73.9,62.1,75
555,591,78.4,-,54.7,66.7,87.8,72.7,60.6,73
534,569,77.8,-,53.5,65.8,87.2,71.6,59.2,71
514,553,77.1,-,52.5,65,86.7,70.7,58,-
514,547,76.9,-,52.1,64.7,86.5,70.3,57.6,70
495,539,76.7,-,51.6,64.3,86.3,69.9,56.9,-
495,530,76.4,-,51.1,63.9,86,69.5,56.2,-
495,528,76.3,-,51,63.8,85.9,69.4,56.1,68
477,516,75.9,-,50.3,63.2,85.6,68.7,55.2,-
477,508,75.6,-,49.6,62.7,85.3,68.2,54.5,-
477,508,75.6,-,49.6,62.7,85.3,68.2,54.5,66
461,495,75.1,-,48.8,61.9,84.9,67.4,53.5,-
461,491,74.9,-,48.5,61.7,84.7,67.2,53.2,-
461,491,74.9,-,48.5,61.7,84.7,67.2,53.2,65
444,474,74.3,-,47.2,61,84.1,66,51.7,-
444,472,74.2,-,47.1,60.8,84,65.8,51.5,-
444,472,74.2,-,47.1,60.8,84,65.8,51.5,63
429,455,73.4,-,45.7,59.7,83.4,64.6,49.9,61
415,440,72.8,-,44.5,58.8,82.8,63.5,48.4,59
401,425,72.00,-,43.1,57.8,82,62.3,46.9,58
388,410,71.4,-,41.8,56.8,81.4,61.1,45.3,56
375,396,70.6,-,40.4,55.7,80.6,59.9,43.6,54
363,383,70.00,-,39.1,54.6,80,58.7,42,52
352,372,69.3,(110.0),37.9,53.8,79.3,57.6,40.5,51
341,360,68.7,(109.0),36.6,52.8,78.6,56.4,39.1,50
331,350,68.1,(108.5),35.5,51.9,78,55.4,37.8,48
321,339,67.5,(108.0),34.3,51,77.3,54.3,36.4,47
311,328,66.9,(107.5),33.1,50,76.7,53.3,34.4,46
302,319,66.3,(107.0),32.1,49.3,76.1,52.2,33.8,45
293,309,65.7,(106.0),30.9,48.3,75.5,51.2,32.4,43
285,301,65.3,(105.5),29.9,47.6,75,50.3,31.2,-
277,292,64.6,(104.5),28.8,46.7,74.4,49.3,29.9,41
269,284,64.1,(104.0),27.6,45.9,73.7,48.3,28.5,40
262,276,63.6,(103.0),26.6,45,73.1,47.3,27.3,39
255,269,63.00,(102.0),25.4,44.2,72.5,46.2,26,38
248,261,62.5,(101.0),24.2,43.2,71.7,45.1,24.5,37
241,253,61.8,100,22.8,42,70.9,43.9,22.8,36
235,247,61.4,99,21.7,41.4,70.3,42.9,21.5,35
229,241,60.8,98.2,20.5,40.5,69.7,41.9,20.1,34
223,234,,97.3,(18.8),-,-,-,-,-
217,228,,96.4,(17.5),-,-,-,-,33
212,222,,95.5,(16.0),-,-,-,-,-
207,218,,94.6,(15.,-,-,-,-,32
201,212,,93.8,(13.8),-,-,-,-,31
197,207,,92.8,(12.7),-,-,-,-,30
192,202,,91.9,(11.5),-,-,-,-,29
187,196,,90.7,(10.0),-,-,-,-,-
183,192,,90,(9.0),-,-,-,-,28
179,188,,89,(8.0),-,-,-,-,27
174,182,,87.8,(6.4),-,-,-,-,-
170,178,,86.8,(5.4),-,-,-,-,26
167,175,,86,(4.4),-,-,-,-,-
163,171,,85,(3.,-,-,-,-,25
156,163,,82.9,(0.9),-,-,-,-,-
149,156,,80.8,-,-,-,-,-,23
143,150,,78.7,-,-,-,-,-,22
137,143,,76.4,-,-,-,-,-,21
131,137,,74,-,-,-,-,-,-
126,132,,72,-,-,-,-,-,20
121,127,,69.8,-,-,-,-,-,19
116,122,,67.6,-,-,-,-,-,18
111,117,,65.7,-,-,-,-,-,15
107,113,,64,-,-,-,-,-,-
103,108,,61,-,-,-,-,-,-
