Lp,[LABELS],[wegiel],[mangan],[krzem],[fosfor],[siarka],[chrom],[nikiel],[miedz],[magnez],[wytrzym],[wydluz],[tward]
1,"[20,1]",4,0.23,2.4,0.06,0.02,0.03,0.02,0.26,0.04,510,11.4,174
2,"[21,1]",3.9,0.21,2.7,0.06,0.02,0.03,0.02,0.23,0.042,529,17.1,163
3,"[22,1]",3.66,0.26,2.72,0.06,0.01,0.03,0.02,0.25,0.052,504,15.7,170
4,"[23,1]",3.83,0.16,2.85,0.06,0.01,0.03,0.02,0.05,0.047,504,20,163
5,"[24,1]",3.78,0.2,2.68,0.06,0.01,0.02,0.01,0.22,0.035,452,10.7,179
6,"[25,1]",3.72,0.21,2.64,0.07,0.01,0.02,0.01,0.22,0.038,497,13.6,170
7,"[26,1]",3.52,0.23,2.54,0.06,0.02,0.03,0.01,0.19,0.025,471,7.1,187
8,"[27,1]",3.82,0.23,2.56,0.06,0.02,0.03,0.01,0.23,0.033,491,9.3,197
9,"[29,1]",3.68,0.23,2.6,0.06,0.02,0.03,0.02,0.21,0.041,446,8.6,187
10,"[30,1]",3.75,0.23,2.55,0.06,0.02,0.03,0.02,0.2,0.035,491,16.4,163
11,"[31,1]",3.68,0.27,2.63,0.05,0.02,0.03,0.02,0.17,0.047,468,9.3,192
12,"[32,1]",3.7,0.28,2.54,0.06,0.02,0.03,0.02,0.18,0.033,500,11.4,183
13,"[43,1]",3.6,0.21,2.63,0.07,0.01,0.02,0.02,0.2,0.044,510,13.6,183
14,"[44,1]",3.74,0.22,2.76,0.07,0.01,0.03,0.02,0.32,0.048,529,13.6,179
15,"[45,1]",3.72,0.21,2.4,0.06,0.01,0.03,0.01,0.2,0.044,497,15.7,170
16,"[46,1]",3.89,0.21,2.43,0.07,0.02,0.02,0.02,0.2,0.05,516,15.7,170
17,"[47,1]",3.71,0.26,2.49,0.07,0.01,0.03,0.01,0.22,0.032,529,9.3,197
18,"[48,1]",3.71,0.21,2.64,0.07,0.01,0.03,0.01,0.2,0.04,471,7.9,179
19,"[49,1]",3.78,0.29,2.7,0.06,0.02,0.04,0.01,0.19,0.04,446,6.4,179
20,"[50,1]",3.71,0.31,2.78,0.07,0.02,0.04,0.01,0.14,0.04,414,7.1,174
21,"[51,1]",3.75,0.3,2.46,0.06,0.01,0.03,0.01,0.14,0.037,427,7.1,174
22,"[52,1]",3.78,0.29,2.62,0.06,0.01,0.03,0.01,0.14,0.048,504,18.6,174
23,"[53,1]",3.72,0.25,2.46,0.07,0.01,0.05,0.02,0.18,0.046,555,12.1,207
24,"[54,1]",3.65,0.23,2.58,0.07,0.01,0.05,0.02,0.2,0.04,516,12.1,187
25,"[55,1]",3.76,0.25,2.6,0.06,0.01,0.05,0.02,0.22,0.03,459,11.4,179
26,"[56,1]",3.65,0.26,2.49,0.07,0.01,0.04,0.02,0.2,0.035,491,10,183
27,"[57,1]",3.72,0.28,2.5,0.06,0.01,0.05,0.02,0.21,0.035,400,6.4,183
28,"[58,1]",3.66,0.28,2.66,0.07,0.01,0.04,0.02,0.22,0.035,497,11.4,183
29,"[59,1]",3.83,0.21,2.35,0.07,0.01,0.03,0.01,0.36,0.04,535,7.1,229
30,"[60,1]",3.9,0.21,2.35,0.07,0.01,0.03,0.01,0.36,0.039,526,8.6,197
31,"[61,1]",3.83,0.19,2.21,0.07,0.01,0.03,0.01,0.33,0.032,573,7.1,229
32,"[62,1]",3.85,0.2,2.35,0.07,0.01,0.03,0.02,0.36,0.039,414,5.7,197
33,"[63,1]",3.9,0.2,2.27,0.07,0.01,0.03,0.01,0.33,0.05,598,7.9,217
34,"[64,1]",3.8,0.22,2.3,0.07,0.01,0.03,0.01,0.26,0.03,555,17.1,183
35,"[65,1]",3.84,0.21,2.51,0.07,0.01,0.03,0.01,0.26,0.039,433,8.6,167
36,"[66,1]",3.75,0.2,2.3,0.07,0.01,0.03,0.01,0.31,0.047,538,10,187
37,"[67,1]",3.86,0.2,2.27,0.07,0.02,0.03,0.01,0.34,0.049,542,11.4,187
38,"[68,1]",3.62,0.22,2.45,0.07,0.01,0.02,0.01,0.28,0.031,394,8.6,163
39,"[68,13]",3.62,0.22,2.45,0.07,0.01,0.02,0.01,0.28,0.031,446,7.1,174
40,"[69,1]",3.68,0.21,2.29,0.07,0.01,0.02,0.01,0.28,0.037,535,11.4,187
41,"[70,1]",3.72,0.18,2.2,0.06,0.01,0.02,0.01,0.32,0.045,581,10,201
42,"[71,1]",3.78,0.19,2.16,0.07,0.01,0.02,0.01,0.34,0.034,520,11.4,183
43,"[72,1]",3.75,0.16,2.16,0.06,0.01,0.02,0.01,0.33,0.037,642,5.7,201
44,"[73,1]",3.7,0.16,2.33,0.07,0.01,0.02,0.01,0.36,0.037,510,17.1,179
45,"[74,1]",3.74,0.17,2.35,0.07,0.01,0.02,0.01,0.37,0.043,523,8.6,187
