,Nr źródła,C [%],Si [%],S [%],P [%],Mg [%],Mn [%],Ni [%],Cu [%],Mo [%],Cr [%],Al [%],Sn [%],B [%],V [%],Wydzielenia grafitu [mm-2],Udział wydzieleń grafitu [%],Średnica sferoidów [μm],Wielkość sferoidów,Nodularity [%],Udział perlitu [%],Udział ferrytu [%],Rm [MPa] (as cast),A5 [%]     (as cast),Minimalna grubość ścianki [mm],Temperatura austenityzacji [˚C],Czas austenityzacji [min.],Temperatura przemiany izotermicznej [˚C],Czas przemiany izotermicznej [min.],Rm [MPa],"R0,2 [MPa]",A5 [%],Twardość Brinella [HB],Twardość Rockwella [HRC],Twardość Rockwella [HRA],Twardość Rockwella [HRB],Twardość Vickersa [HV],Udarność Charpy [J],Temperatura pomiaru udarności [˚C],Udział austenitu %,Martensite volume fraction Xα'
0,1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,,,,,,80.0,,554.1021999999992,5.6949399999999875,25.4,927.0,120.0,400.0,120.0,585.0,480.0,,,,,,,,,28.7,
1,1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,,,,,,80.0,,554.1021999999992,5.6949399999999875,25.4,927.0,120.0,385.0,120.0,701.0,636.0,,,,,,,,,37.5,
2,1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,,,,,,80.0,,554.1021999999992,5.6949399999999875,25.4,927.0,120.0,371.0,120.0,1062.0,861.0,10.5,,,,,,,,32.0,
3,1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,,,,,,80.0,,554.1021999999992,5.6949399999999875,25.4,927.0,120.0,357.0,120.0,1105.0,946.0,9.6,,,,,,,,28.5,
4,1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,,,,,,80.0,,554.1021999999992,5.6949399999999875,25.4,927.0,120.0,343.0,120.0,1185.0,989.0,,,,,,,,,26.2,
5,1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,,,,,,80.0,,554.1021999999992,5.6949399999999875,25.4,927.0,120.0,330.0,120.0,1277.0,1081.0,,,,,,,,,17.5,
6,1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,,,,,,80.0,,554.1021999999992,5.6949399999999875,25.4,927.0,120.0,323.0,120.0,,,4.0,,,,,,,,,
7,1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,,,,,,80.0,,554.1021999999992,5.6949399999999875,25.4,927.0,120.0,316.0,120.0,1326.0,1154.0,,,,,,,,,14.5,
8,1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,,,,,,80.0,,554.1021999999992,5.6949399999999875,25.4,927.0,120.0,301.0,120.0,,,3.4,,,,,,,,14.5,
9,1,3.4,2.41,0.017,0.015,0.064,0.15,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,,,,,,80.0,,554.1021999999992,5.6949399999999875,25.4,927.0,120.0,288.0,120.0,1470.0,1302.0,3.1,,,,,,,,14.0,
