"","Nr źródła","C [%]","Si [%]","S [%]","P [%]","Mg [%]","Mn [%]","Ni [%]","Cu [%]","Mo [%]","Cr [%]","Al [%]","Sn [%]","B [%]","V [%]","Wydzielenia grafitu [mm-2]","Udział wydzieleń grafitu [%]","Średnica sferoidów [μm]","Wielkość sferoidów","Nodularity [%]","Udział perlitu [%]","Udział ferrytu [%]","Rm [MPa] (as cast)","A5 [%]     (as cast)","Minimalna grubość ścianki [mm]","Temperatura austenityzacji [˚C]","Czas austenityzacji [min.]","Temperatura przemiany izotermicznej [˚C]","Czas przemiany izotermicznej [min.]","Rm [MPa]","R0,2 [MPa]","A5 [%]","Twardość Brinella [HB]","Twardość Rockwella [HRC]","Twardość Rockwella [HRA]","Twardość Rockwella [HRB]","Twardość Vickersa [HV]","Udarność Charpy [J]","Temperatura pomiaru udarności [˚C]","Udział austenitu %","Martensite volume fraction Xα'"
"0","1",3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0,0,0,0,0,NA,NA,NA,"",NA,80,NA,554.102199999999,5.69493999999999,25.4,927,120,400,120,585,480,NA,NA,NA,NA,NA,NA,NA,NA,28.7,NA
"1","1",3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0,0,0,0,0,NA,NA,NA,"",NA,80,NA,554.102199999999,5.69493999999999,25.4,927,120,385,120,701,636,NA,NA,NA,NA,NA,NA,NA,NA,37.5,NA
"2","1",3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0,0,0,0,0,NA,NA,NA,"",NA,80,NA,554.102199999999,5.69493999999999,25.4,927,120,371,120,1062,861,10.5,NA,NA,NA,NA,NA,NA,NA,32,NA
"3","1",3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0,0,0,0,0,NA,NA,NA,"",NA,80,NA,554.102199999999,5.69493999999999,25.4,927,120,357,120,1105,946,9.6,NA,NA,NA,NA,NA,NA,NA,28.5,NA
"4","1",3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0,0,0,0,0,NA,NA,NA,"",NA,80,NA,554.102199999999,5.69493999999999,25.4,927,120,343,120,1185,989,NA,NA,NA,NA,NA,NA,NA,NA,26.2,NA
"5","1",3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0,0,0,0,0,NA,NA,NA,"",NA,80,NA,554.102199999999,5.69493999999999,25.4,927,120,330,120,1277,1081,NA,NA,NA,NA,NA,NA,NA,NA,17.5,NA
"6","1",3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0,0,0,0,0,NA,NA,NA,"",NA,80,NA,554.102199999999,5.69493999999999,25.4,927,120,323,120,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","1",3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0,0,0,0,0,NA,NA,NA,"",NA,80,NA,554.102199999999,5.69493999999999,25.4,927,120,316,120,1326,1154,NA,NA,NA,NA,NA,NA,NA,NA,14.5,NA
"8","1",3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0,0,0,0,0,NA,NA,NA,"",NA,80,NA,554.102199999999,5.69493999999999,25.4,927,120,301,120,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,14.5,NA
"9","1",3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0,0,0,0,0,NA,NA,NA,"",NA,80,NA,554.102199999999,5.69493999999999,25.4,927,120,288,120,1470,1302,3.1,NA,NA,NA,NA,NA,NA,NA,14,NA
"10","1",3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0,0,0,0,0,NA,NA,NA,"",NA,80,NA,554.102199999999,5.69493999999999,25.4,927,120,273,120,1522,1373,NA,NA,NA,NA,NA,NA,NA,NA,12,NA
"11","1",3.4,2.41,0.017,0.015,0.064,0.15,0.001,0,0.001,0,0,0,0,0,NA,NA,NA,"",NA,80,NA,554.102199999999,5.69493999999999,25.4,927,120,260,120,1528,1410,1.9,NA,NA,NA,NA,NA,NA,NA,12,NA
"12","2",3.5,2.6,0.005,0.027,0.045,0.25,0,0.96,0.21,0,0,0,0,0,NA,NA,NA,"",NA,100,NA,649,4,25,900,180,355,240,1039,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2",3.42,2.73,0.006,0.027,0.045,0.25,0,0.98,0.2,0,0,0,0,0,NA,NA,NA,"",NA,100,NA,654.5404,4.0714,25,845,180,370,240,874,637,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2",3.5,2.6,0.005,0.027,0.045,0.25,0,0.96,0.21,0,0,0,0,0,NA,NA,NA,"",NA,100,NA,649,4,25,900,180,355,180,1117,NA,9.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2",3.5,2.6,0.005,0.027,0.045,0.25,0,0.96,0.21,0,0,0,0,0,NA,NA,NA,"",NA,100,NA,649,4,25,900,180,355,120,1078,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2",3.42,2.73,0.006,0.027,0.045,0.25,0,0.98,0.2,0,0,0,0,0,NA,NA,NA,"",NA,100,NA,654.5404,4.0714,25,845,180,370,120,862,634,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
